filename,timestamp
waypoint_grapey-moa-TKA3fyVGEJ+I16mn62.SGA==.ply,1762942377.7363005
waypoint_gratis-algae-.pnUZDjryJYpygL2irxBxg==.ply,1762942380.336907
waypoint_gratis-budgie-9sDDYWfbD4453PAQ5jyD3A==.ply,1762942382.737497
waypoint_greyed-cicada-IG.kj8Qbfq17vxwbHBE8Dw==.ply,1762942385.2047513
waypoint_grimy-cattle-gJSsCZFn+UvVBM4VRP2DsA==.ply,1762942387.4719737
waypoint_grown-aphid-vS8ObhGjXpi0+FaZy8VmaA==.ply,1762942389.8725626
waypoint_hadean-dassie-MV.19xWuCThUCOLNcpgBmw==.ply,1762942392.4731934
waypoint_hadean-kelpie-SpyntP10CFRFWMHGivbLGQ==.ply,1762942395.3405664
waypoint_hadean-sawfly-xMnJZ+fYzkgZYIb9EZ8JoA==.ply,1762942397.7411554
waypoint_hadean-snake-SD1GF2k6ywVmwMlI.pE9Cg==.ply,1762942399.6082516
waypoint_hated-horse-SPsXfM7d1xN7zaayjeDv5Q==.ply,1762942400.8752155
waypoint_hated-okapi-CO8xG7WpxA0uVxCO.68n2Q==.ply,1762942403.0757356
waypoint_hatted-drake-90LuGrt+4YbwUVdT9rQAUA==.ply,1762942405.1428828
waypoint_hazel-antler-BX0kVCFEQuC+i52uk.b+lg==.ply,1762942408.943805
waypoint_hazel-bronco-mScpLUkauTBJyrCekiscMg==.ply,1762942414.7451923
waypoint_healed-rabbit-3VwyWytcbSGivBnSPjeaqA==.ply,1762942416.412191
waypoint_hectic-hogg-KrRN.aEk2n56ftPuBUaveA==.ply,1762942417.4124238
waypoint_hick-rhesus-3EL6aLEBtB5KZIevPyEIIg==.ply,1762942419.2796192
waypoint_hilly-vervet-gjP3N60Clqs2z+dtJPL3+g==.ply,1762942420.479918
waypoint_hoarse-mite-i+re4wLuK3cmCvWMK.d4Bg==.ply,1762942421.0800602
waypoint_holey-bunny-0z75jbNJS18G7w3zzD6tRw==.ply,1762942423.7474053
waypoint_homy-wombat-P9MNR3wazNueh7h4SJ57GA==.ply,1762942427.1482031
waypoint_honey-angler-WK+1Z1AKENgBVeMuWcHVcg==.ply,1762942432.6162198
waypoint_honey-sow-mGsEEgERa761ZFSNt17Riw==.ply,1762942435.216814
waypoint_humped-weevil-38TNmMI2YW2tcz0M183FwQ==.ply,1762942436.88393
waypoint_hushed-dassie-4aSpe7Is2galwy4bG7GluQ==.ply,1762942440.1513112
waypoint_hydric-duck-H8pd20klesCVWOqbB8g87A==.ply,1762942441.6183105
waypoint_inane-koala-sjHmBD2Tq3FA+GT43xpYcQ==.ply,1762942444.6190317
waypoint_indigo-snake-F8wPw.E1c6EErqG6yemhdg==.ply,1762942447.6197891
waypoint_inky-moa-9AdxPYEtYt.MAwhUjBs.TQ==.ply,1762942448.6866734
waypoint_inlaid-coyote-u7mav9P1nZlXpi1uF4pO5w==.ply,1762942450.2871075
waypoint_inlaid-racoon-e3z1e0yrMoZFJCL3wM01lA==.ply,1762942459.3559535
waypoint_inland-kelp-1jN2MXkVsQkQ.dzH5AE6bA==.ply,1762942462.823515
waypoint_inland-lizard-dSs+7j.s9gmcgxhn0eozNw==.ply,1762942467.0244634
waypoint_ireful-weaver-EvgCVVD4e.TCvBgwG.UreA==.ply,1762942470.2918699
waypoint_iron-drone-FPcDstrYNvfhCZ+c2TVNvw==.ply,1762942473.7593727
waypoint_iron-thrush-VloeeVIX6gcqvWKFIX.uqg==.ply,1762942476.7601182
waypoint_jade-auk-SSYkOSN71ls0DvzBkCHVmA==.ply,1762942480.227586
waypoint_jade-conch-ypEFdSanbRdgajoIiu5wJA==.ply,1762942483.6283536
waypoint_jawed-duck-QpaLuT+auRdcbSaTd3D9.A==.ply,1762942487.095882
waypoint_jet-alpaca-DTH9xW80rRjPJf8gxkMVPQ==.ply,1762942488.696288
waypoint_jolly-oxtail-fQR+DaOA+yu2.daFoSeblA==.ply,1762942500.9658475
waypoint_jolty-macaw-a+w9zl8HD4H3bQoWOKu6Yw==.ply,1762942501.9660456
waypoint_jungly-hyla-EiZSLjpbcUnje0TZuLAyYg==.ply,1762942504.4332976
waypoint_kempt-bird-NyQAmwwMFivvBMc4GHKwHQ==.ply,1762942505.433522
waypoint_kept-otus-9iAR293XCQeUrOZJ8OJjMQ==.ply,1762942506.9005516
